PGLUCISOM-RXN	EC-5.3.1.9	PGLUCISOM-ENZRXN;ENZRXN66-2374;ENZRXN-19884;ENZRXN-17850;ENZRXN-13903;ENZRXN-13898;ENZRXN-13755;ENZRXN-13424;ENZRXN-12250;ENZRXN-6281;ENZRXN-2425;ENZRXN-2863;ENZRXN-2701	GLYCOLYSIS;PWY-622;PWY-7238;ANAGLYCOLYSIS-PWY;GLUCONEO-PWY;PWY-6981;PWY-5514;PWY-6142;SUCSYN-PWY;PWY-6531;ANAEROFRUCAT-PWY;P124-PWY;PWY-5659;P341-PWY;RUMP-PWY;P122-PWY;PWY-621;PWY-5384;PWY-5054
UGD-RXN	EC-1.1.1.22	UGD-ENZRXN;ENZRXN-17374;ENZRXN3DJ-32971;ENZRXN-11403;ENZRXN-9161	COLANSYN-PWY;PWY-6415;PWY-3821;PWY3DJ-35471;PWY-4821
RXN-12618	EC-3.4.19.13	ENZRXN0-7697;ENZRXN-19542;ENZRXN-19540	
RXN0-2605	EC-3.1.11.5	ENZRXN-2008	
BARBITURASE-RXN	EC-3.5.2.1	ENZRXN-17434	PWY-6426
2.8.3.10-RXN	EC-2.8.3.10		
RXN-11547	EC-1.14.21.8	ENZRXN-17995	
RXN-8440			PWY-5380
RXN-14462	EC-2.3.3	ENZRXN-21726	PWY-7275
PGLUCONDEHYDRAT-RXN	EC-4.2.1.12	PGLUCONDEHYDRAT-ENZRXN	ENTNER-DOUDOROFF-PWY
RXN-12623	EC-3.2.1.14	ENZRXN-20905;ENZRXN-20903;ENZRXN-19592	PWY-6902
UNDECAPRENOL-KINASE-RXN	EC-2.7.1.66		
RXN0-2606		ENZRXN-2009	
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN	EC-1.2.1.28	ENZRXN-17546;ENZRXN-17543;ENZRXN-5303;ENZRXN-3109;ENZRXN-2568	PWY-6766;PWY-6763;PWY-6446;PWY-6444;TOLUENE-DEG-CATECHOL-PWY;PWY-1501
RXN-11548			PWY-6553
2.8.3.13-RXN	EC-2.8.3.13		
RXN-8441	EC-3.2.2	ENZRXN3O-266	PWY-5381
RXN-14463	EC-4.2.1	ENZRXN-21727	PWY-7275
RXN-12624	EC-3.2.1.14	ENZRXN-19593	PWY-6902
PGLYCDEHYDROG-RXN	EC-1.1.1.95	PGLYCDEHYDROG-ENZRXN;ENZRXN-13390;ENZRXN-10381	SERSYN-PWY
UNDECAPRENYL-DIPHOSPHATASE-RXN	EC-3.6.1.27	ENZRXN0-3901;ENZRXN0-5862	
RXN0-262	EC-2.7.7.77	ENZRXN0-283	PWY-5964
